0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
WillJo07,IND,25,RB,9,1,5,5,100.0%,59,11.8,0,3,31,11.8,0.6,6.6,0,2019
WilsCe01,DAL,24,WR,6,0,8,5,62.5%,46,9.2,0,2,14,5.8,0.8,7.7,0,2019
BawdNi00,DET,23,RB,10,2,6,4,66.7%,17,4.3,0,1,10,2.8,0.4,1.7,0,2019
BlasKh00,TEN,23,RB,6,3,5,4,80.0%,54,13.5,0,2,24,10.8,0.7,9.0,0,2019
BrowAn04,NWE,31,WR,1,0,8,4,50.0%,56,14.0,1,3,20,7.0,4.0,56.0,0,2019
CarsTr01,2TM,27,RB,3,1,4,4,100.0%,18,4.5,0,0,8,4.5,1.3,6.0,0,2019
CrabMi00,ARI,32,WR,2,1,5,4,80.0%,22,5.5,0,0,9,4.4,2.0,11.0,0,2019
GranRy01,OAK,29,WR,2,1,9,4,44.4%,14,3.5,0,1,9,1.6,2.0,7.0,0,2019
2019,,,,,,,,,,,,,,,,,,
HendDa00,LAR,22,RB,13,0,6,4,66.7%,37,9.3,0,1,14,6.2,0.3,2.8,0,2019
HiggRa00,CLE,25,WR,10,1,11,4,36.4%,55,13.8,1,3,35,5.0,0.4,5.5,0,2019
HodgKh00,CLE,24,WR,16,1,10,4,40.0%,76,19.0,0,3,41,7.6,0.3,4.8,0,2019
JoneTe02,PIT,27,WR,5,0,10,4,40.0%,61,15.3,0,1,28,6.1,0.8,12.2,0,2019
MattJo00,2TM,27,WR,3,1,12,4,33.3%,33,8.3,0,1,10,2.8,1.3,11.0,0,2019
MoncDo00,2TM,26,WR,8,2,15,4,26.7%,18,4.5,0,1,11,1.2,0.5,2.3,0,2019
MundJo00,LAR,25,TE,13,2,7,4,57.1%,26,6.5,0,1,9,3.7,0.3,2.0,0,2019
NelsJJ00,OAK,27,WR,2,1,5,4,80.0%,36,9.0,1,1,29,7.2,2.0,18.0,0,2019
SherTr00,ARI,23,WR,16,1,13,4,30.8%,80,20.0,0,4,38,6.2,0.3,5.0,0,2019
SmitLe00,BUF,32,WR,16,5,5,4,80.0%,31,7.8,1,2,9,6.2,0.3,1.9,0,2019
TravRo00,IND,26,LB,3,1,6,4,66.7%,51,12.8,0,1,25,8.5,1.3,17.0,1,2019
WalfCl00,MIA,28,TE,7,3,8,4,50.0%,57,14.3,0,4,19,7.1,0.6,8.1,0,2019
WhitDe01,CAR,28,WR,10,0,9,4,44.4%,51,12.8,0,3,18,5.7,0.4,5.1,0,2019
BoonMi00,MIN,24,RB,16,2,4,3,75.0%,17,5.7,0,0,7,4.3,0.2,1.1,0,2019
CoreCo00,NYG,25,WR,16,0,5,3,60.0%,28,9.3,0,2,11,5.6,0.2,1.8,0,2019
DaviGe00,LAC,27,WR,7,1,3,3,100.0%,38,12.7,0,1,19,12.7,0.4,5.4,0,2019
FostRo01,BUF,25,WR,13,2,18,3,16.7%,64,21.3,0,3,24,3.6,0.2,4.9,0,2019
FuncDe00,IND,25,WR,1,1,5,3,60.0%,32,10.7,0,2,16,6.4,3.0,32.0,0,2019
HillJo03,NYG,24,RB,3,1,4,3,75.0%,1,0.3,0,0,5,0.3,1.0,0.3,2,2019
HoltJo00,PIT,29,WR,16,3,15,3,20.0%,21,7.0,0,1,18,1.4,0.2,1.3,0,2019
JoneT.00,NYG,27,WR,3,0,4,3,75.0%,38,12.7,1,2,28,9.5,1.0,12.7,3,2019
KendLa00,LAC,31,TE,12,1,7,3,42.9%,50,16.7,0,3,24,7.1,0.3,4.2,0,2019
LacyCh00,DET,23,WR,7,2,10,3,30.0%,60,20.0,0,2,48,6.0,0.4,8.6,0,2019
LeexMa00,JAX,28,WR,6,1,4,3,75.0%,18,6.0,0,2,8,4.5,0.5,3.0,0,2019
MoorCh00,BAL,26,WR,14,1,5,3,60.0%,21,7.0,0,0,13,4.2,0.2,1.5,0,2019
MorgSt02,CIN,23,WR,11,0,10,3,30.0%,18,6.0,0,0,9,1.8,0.3,1.6,0,2019
OlivJo00,JAX,22,TE,4,1,6,3,50.0%,15,5.0,0,0,6,2.5,0.8,3.8,0,2019
OzigDe01,JAX,23,RB,10,0,5,3,60.0%,23,7.7,0,1,12,4.6,0.3,2.3,0,2019
RobeAn00,BUF,31,WR,13,0,7,3,42.9%,20,6.7,0,1,7,2.9,0.2,1.5,1,2019
ShepRu00,NYG,29,WR,3,0,8,3,37.5%,25,8.3,0,1,12,3.1,1.0,8.3,0,2019
2019,,,,,,,,,,,,,,,,,,
SnelBe00,PIT,21,RB,13,2,4,3,75.0%,23,7.7,0,0,14,5.8,0.2,1.8,1,2019
WattDe00,LAC,27,RB,16,2,5,3,60.0%,32,10.7,0,1,21,6.4,0.2,2.0,0,2019
WilsJe00,TAM,24,WR,6,1,11,3,27.3%,35,11.7,0,2,14,3.2,0.5,5.8,3,2019
WilsJe01,SFO,24,RB,10,0,5,3,60.0%,34,11.3,1,1,25,6.8,0.3,3.4,0,2019
YeldDe00,KAN,24,TE,9,1,4,3,75.0%,50,16.7,0,2,24,12.5,0.3,5.6,0,2019
ZaccOl01,ATL,22,WR,10,0,5,3,60.0%,115,38.3,1,2,93,23.0,0.3,11.5,0,2019
ArmaAl00,CAR,25,FB,16,1,2,2,100.0%,6,3.0,0,0,4,3.0,0.1,0.4,0,2019
BeebCh00,MIN,25,WR,3,0,2,2,100.0%,70,35.0,0,2,61,35.0,0.7,23.3,3,2019
BellJo02,NYJ,30,WR,7,0,3,2,66.7%,20,10.0,0,1,15,6.7,0.3,2.9,0,2019
BellNi01,SEA,30,LB,14,1,2,2,100.0%,23,11.5,1,2,20,11.5,0.1,1.6,0,2019
BoarC.00,JAX,26,WR,4,0,4,2,50.0%,31,15.5,0,1,23,7.8,0.5,7.8,0,2019
BrowFr01,DEN,26,WR,13,1,3,2,66.7%,21,10.5,0,1,16,7.0,0.2,1.6,1,2019
BrowMa03,LAR,26,RB,14,1,6,2,33.3%,16,8.0,0,0,10,2.7,0.1,1.1,0,2019
BrowPh01,CLE,25,TE,9,6,3,2,66.7%,27,13.5,0,1,18,9.0,0.2,3.0,0,2019
